"ID","Work Item Type","Title 1","Title 2","Title 3","Title 4","Description","Acceptance Criteria","Business Value","Effort","Remaining Work","Activity","Iteration Path","Tags"
"","Product Backlog Item","","","[PBI-08] Definir livremente a lista de atributos a pesquisar","","<b>História de usuário:</b> Como analista, quero escolher atributos do catálogo ou digitar atributos livres, para montar a pesquisa conforme minha necessidade.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-04 Cadastrar catálogo padrão de atributos técnicos com unidade e categoria, PBI-06 Informar Marca, Modelo e Versão para iniciar a pesquisa<br><b>Bloqueia (sucessores):</b> PBI-17, PBI-19, PBI-36<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Definir livremente a lista de atributos a pesquisar<br><br><b>Cenário:</b> Atributos do catálogo e livres<br><b>Dado</b> que informei o veículo<br><b>Quando</b> adiciono 'Torque máximo' do catálogo e o texto livre 'Snorkel'<br><b>Então</b> a pesquisa é registrada com os 2 atributos<br><br><b>Cenário:</b> Lista vazia<br><b>Dado</b> que informei o veículo<br><b>Quando</b> envio a pesquisa sem nenhum atributo<br><b>Então</b> recebo 400 com a mensagem 'Informe ao menos um atributo'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Limite máximo de 100 atributos por pesquisa validado.","100","5","","","Ford Challenge\Sprint 1","Must; API"
"","Product Backlog Item","","","[PBI-36] Salvar modelos (templates) de listas de atributos","","<b>História de usuário:</b> Como analista, quero salvar listas de atributos usadas com frequência, para agilizar novas pesquisas.<br><br><b>Prioridade:</b> Opcional (Could have) — melhoria desejável, entra se houver capacidade<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-08 Definir livremente a lista de atributos a pesquisar<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Backlog futuro","<b>Funcionalidade:</b> Salvar modelos (templates) de listas de atributos<br><br><b>Cenário:</b> Template salvo<br><b>Dado</b> uma lista com 10 atributos<br><b>Quando</b> salvo como 'Picapes médias'<br><b>Então</b> consigo reutilizá-la em uma nova pesquisa<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Templates privados por usuário.","20","3","","","Ford Challenge","Could; API"
"","Epic","[EP-04] Coleta e Extração Inteligente de Dados Técnicos","","","","Coletar dados técnicos da concorrência em fontes oficiais e secundárias e extrair as especificações com um motor híbrido (IA/LLM + regras), normalizando unidades.","Para um veículo válido, o motor retorna os atributos solicitados com valor, unidade normalizada e fonte (URL e data de coleta).","","","","","Ford Challenge","Épico"
"","Feature","","[FT-07] Coleta de Fontes de Dados","","","<b>História:</b> Como analista, quero que a ferramenta busque dados em fontes confiáveis, para não precisar pesquisar manualmente em vários sites.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 16 pontos","Dado um veículo válido, quando a coleta é executada, então o conteúdo das fontes é armazenado com URL e data de coleta.","100","16","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-13] Conector de coleta em fichas técnicas oficiais das montadoras","","<b>História de usuário:</b> Como analista, quero que a ferramenta colete a ficha técnica no site oficial da montadora, para ter dados de fonte primária.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 8 pontos<br><b>Depende de (predecessores):</b> PBI-03 Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes), PBI-06 Informar Marca, Modelo e Versão para iniciar a pesquisa<br><b>Bloqueia (sucessores):</b> PBI-14, PBI-15, PBI-28<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Conector de coleta em fichas técnicas oficiais das montadoras<br><br><b>Cenário:</b> Coleta com sucesso<br><b>Dado</b> uma pesquisa da 'Ford Ranger Raptor'<br><b>Quando</b> o conector é executado<br><b>Então</b> o conteúdo da ficha técnica é salvo com URL e data de coleta<br><br><b>Cenário:</b> Fonte indisponível<br><b>Dado</b> que o site da montadora está fora do ar<br><b>Quando</b> o conector é executado<br><b>Então</b> a falha é registrada e a pesquisa segue para fontes alternativas<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Respeita robots.txt e timeout de 15 s por fonte.","100","8","","","Ford Challenge\Sprint 2","Must; Coleta"
"","Product Backlog Item","","","[PBI-14] Cache de fontes coletadas com data e URL","","<b>História de usuário:</b> Como analista, quero reaproveitar coletas recentes, para obter respostas mais rápidas e reduzir custo.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-13 Conector de coleta em fichas técnicas oficiais das montadoras<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Cache de fontes coletadas com data e URL<br><br><b>Cenário:</b> Cache válido<br><b>Dado</b> uma coleta do mesmo veículo feita há menos de 7 dias<br><b>Quando</b> faço nova pesquisa<br><b>Então</b> o conteúdo em cache é utilizado<br><br><b>Cenário:</b> Cache expirado<br><b>Dado</b> uma coleta com mais de 7 dias<br><b>Quando</b> faço nova pesquisa<br><b>Então</b> uma nova coleta é realizada<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> TTL configurável por variável de ambiente.","50","3","","","Ford Challenge\Sprint 2","Should; Coleta"
"","Product Backlog Item","","","[PBI-28] Conector para fontes secundárias (portais automotivos especializados)","","<b>História de usuário:</b> Como analista, quero complementar a ficha oficial com portais especializados, para reduzir campos 'Não disponível'.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-13 Conector de coleta em fichas técnicas oficiais das montadoras<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 4","<b>Funcionalidade:</b> Conector para fontes secundárias (portais automotivos especializados)<br><br><b>Cenário:</b> Complemento de dados<br><b>Dado</b> um atributo ausente na ficha oficial<br><b>Quando</b> o conector secundário encontra o valor<br><b>Então</b> o atributo é preenchido com a fonte secundária identificada<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Fonte primária sempre tem precedência sobre a secundária.","50","5","","","Ford Challenge\Sprint 4","Should; Coleta"
"","Feature","","[FT-08] Extração de Especificações com IA","","","<b>História:</b> Como analista, quero que a IA extraia e normalize as especificações das fontes, para receber dados precisos e organizados.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 23 pontos","Dado o conteúdo coletado, quando o motor processa, então cada atributo solicitado recebe valor, unidade padrão, fonte e grau de confiança.","100","23","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-15] Extrair especificações do conteúdo coletado com motor híbrido (LLM + regras)","","<b>História de usuário:</b> Como analista, quero que a IA identifique no texto das fontes os valores dos atributos solicitados, para não ter que ler fichas técnicas manualmente.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 13 pontos<br><b>Depende de (predecessores):</b> PBI-04 Cadastrar catálogo padrão de atributos técnicos com unidade e categoria, PBI-13 Conector de coleta em fichas técnicas oficiais das montadoras<br><b>Bloqueia (sucessores):</b> PBI-18, PBI-29, PBI-37<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Extrair especificações do conteúdo coletado com motor híbrido (LLM + regras)<br><br><b>Cenário:</b> Extração de atributo existente<br><b>Dado</b> o conteúdo coletado da Ranger Raptor<br><b>Quando</b> o motor extrai 'Potência máxima'<br><b>Então</b> retorna o valor e a unidade encontrados na fonte<br><br><b>Cenário:</b> Atributo não encontrado<br><b>Dado</b> um atributo que não consta em nenhuma fonte<br><b>Quando</b> o motor processa<br><b>Então</b> retorna o atributo sem valor, sem inventar dados<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Precisão ≥ 90% no gabarito da Ranger Raptor; prompt e regras versionados.","100","13","","","Ford Challenge\Sprint 2","Must; IA"
"","Product Backlog Item","","","[PBI-18] Normalizar unidades e formatos das especificações","","<b>História de usuário:</b> Como gestor, quero que valores venham em unidades padrão (cv, kgfm, mm, L, kg), para comparar veículos sem conversões manuais.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-15 Extrair especificações do conteúdo coletado com motor híbrido (LLM + regras)<br><b>Bloqueia (sucessores):</b> PBI-19<br><b>Release:</b> Sprint 3","<b>Funcionalidade:</b> Normalizar unidades e formatos das especificações<br><br><b>Cenário:</b> Conversão de unidade<br><b>Dado</b> que a fonte informa '292 kW'<br><b>Quando</b> o normalizador processa o atributo 'Potência máxima'<br><b>Então</b> o valor exibido é '397 cv'<br><br><b>Cenário:</b> Valor já padronizado<br><b>Dado</b> que a fonte informa '397 cv'<br><b>Quando</b> o normalizador processa<br><b>Então</b> o valor permanece '397 cv'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Cobertura de testes unitários ≥ 90% no módulo normalizador.","100","5","","","Ford Challenge\Sprint 3","Must; IA"
"","Task","","","","[T-01] Criar tabela de conversão de unidades (kW→cv, Nm→kgfm, pol→mm)","<b>Esforço estimado:</b> 4 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-18 Normalizar unidades e formatos das especificações","","","","4","Development","Ford Challenge\Sprint 3","Sprint3; IA"
"","Task","","","","[T-02] Implementar serviço normalizador de valores e unidades","<b>Esforço estimado:</b> 6 h<br><b>Depende de:</b> T-01 Criar tabela de conversão de unidades (kW→cv, Nm→kgfm, pol→mm)<br><b>PBI:</b> PBI-18 Normalizar unidades e formatos das especificações","","","","6","Development","Ford Challenge\Sprint 3","Sprint3; IA"
"","Task","","","","[T-03] Testes unitários do normalizador (casos de borda e unidades desconhecidas)","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> T-02 Implementar serviço normalizador de valores e unidades<br><b>PBI:</b> PBI-18 Normalizar unidades e formatos das especificações","","","","3","Testing","Ford Challenge\Sprint 3","Sprint3; IA"
"","Product Backlog Item","","","[PBI-29] Indicador de confiança e rastreabilidade de fonte por atributo","","<b>História de usuário:</b> Como gestor, quero saber a confiança e a origem de cada dado, para decidir se posso usá-lo em análises estratégicas.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-15 Extrair especificações do conteúdo coletado com motor híbrido (LLM + regras)<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 4","<b>Funcionalidade:</b> Indicador de confiança e rastreabilidade de fonte por atributo<br><br><b>Cenário:</b> Fontes divergentes<br><b>Dado</b> duas fontes com valores diferentes para 'Torque máximo'<br><b>Quando</b> o motor consolida o resultado<br><b>Então</b> o atributo exibe confiança 'Média' e as duas fontes<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Regra de cálculo da confiança documentada.","50","5","","","Ford Challenge\Sprint 4","Should; IA"
"","Epic","[EP-05] Saída Padronizada de Especificações Técnicas","","","","Gerar uma lista de especificações técnicas sempre no mesmo formato, independente do veículo, com campos claros, organizados e comparáveis, explicitando dados inexistentes.","Saída segue um schema único e versionado; atributos sem informação aparecem como 'Não disponível'; é possível comparar e exportar resultados.","","","","","Ford Challenge","Épico"
"","Feature","","[FT-09] Lista Padronizada de Especificações","","","<b>História:</b> Como gestor de produto, quero receber as especificações sempre no mesmo formato, para comparar veículos rapidamente.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 10 pontos","Dadas duas pesquisas de veículos diferentes, quando visualizo os resultados, então ambos têm exatamente os mesmos campos na mesma ordem.","100","10","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-19] Gerar lista de especificações em formato único (schema padronizado)","","<b>História de usuário:</b> Como gestor de produto, quero que a lista de especificações tenha sempre os mesmos campos e ordem, para comparar qualquer veículo.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 8 pontos<br><b>Depende de (predecessores):</b> PBI-08 Definir livremente a lista de atributos a pesquisar, PBI-18 Normalizar unidades e formatos das especificações<br><b>Bloqueia (sucessores):</b> PBI-20, PBI-23, PBI-25, PBI-27, PBI-30, PBI-32, PBI-33<br><b>Release:</b> Sprint 3","<b>Funcionalidade:</b> Gerar lista de especificações em formato único (schema padronizado)<br><br><b>Cenário:</b> Formato único<br><b>Dado</b> pesquisas concluídas da 'Ford Ranger Raptor' e da 'Toyota Hilux GR-S'<br><b>Quando</b> consulto GET /pesquisas/{id}/especificacoes de cada uma<br><b>Então</b> ambas as respostas seguem o mesmo schema: categoria, atributo, valor, unidade, fonte, dataColeta, confianca<br><br><b>Cenário:</b> Pesquisa inexistente<br><b>Dado</b> um id de pesquisa que não existe<br><b>Quando</b> consulto as especificações<br><b>Então</b> recebo 404 no formato padrão de erro<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Schema JSON versionado (v1) e teste de contrato no pipeline.","100","8","","","Ford Challenge\Sprint 3","Must; API"
"","Task","","","","[T-04] Definir schema JSON v1 da lista de especificações","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)","","","","3","Design","Ford Challenge\Sprint 3","Sprint3; API"
"","Task","","","","[T-05] Implementar endpoint GET /pesquisas/{id}/especificacoes","<b>Esforço estimado:</b> 6 h<br><b>Depende de:</b> T-04 Definir schema JSON v1 da lista de especificações, T-02 Implementar serviço normalizador de valores e unidades<br><b>PBI:</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)","","","","6","Development","Ford Challenge\Sprint 3","Sprint3; API"
"","Task","","","","[T-06] Agrupar e ordenar atributos por categoria do catálogo","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> T-05 Implementar endpoint GET /pesquisas/{id}/especificacoes<br><b>PBI:</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)","","","","3","Development","Ford Challenge\Sprint 3","Sprint3; API"
"","Task","","","","[T-07] Teste de contrato do schema v1 no pipeline","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> T-05 Implementar endpoint GET /pesquisas/{id}/especificacoes<br><b>PBI:</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)","","","","3","Testing","Ford Challenge\Sprint 3","Sprint3; API"
"","Product Backlog Item","","","[PBI-20] Explicitar 'Não disponível' quando a informação não existir","","<b>História de usuário:</b> Como analista, quero ver claramente quando um dado não foi encontrado, para não confundir ausência de informação com erro.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 2 pontos<br><b>Depende de (predecessores):</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)<br><b>Bloqueia (sucessores):</b> PBI-24<br><b>Release:</b> Sprint 3","<b>Funcionalidade:</b> Explicitar 'Não disponível' quando a informação não existir<br><br><b>Cenário:</b> Dado inexistente<br><b>Dado</b> que o atributo 'Snorkel' não foi encontrado em nenhuma fonte<br><b>Quando</b> consulto o resultado<br><b>Então</b> o atributo aparece com valor 'Não disponível' e motivo 'Não encontrado nas fontes consultadas'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Nenhum campo do schema retorna nulo ou vazio sem o status explícito.","100","2","","","Ford Challenge\Sprint 3","Must; API"
"","Task","","","","[T-08] Regra de preenchimento 'Não disponível' com motivo","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> T-05 Implementar endpoint GET /pesquisas/{id}/especificacoes<br><b>PBI:</b> PBI-20 Explicitar 'Não disponível' quando a informação não existir","","","","2","Development","Ford Challenge\Sprint 3","Sprint3; API"
"","Task","","","","[T-09] Testes de atributos inexistentes e texto livre não reconhecido","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> T-08 Regra de preenchimento 'Não disponível' com motivo<br><b>PBI:</b> PBI-20 Explicitar 'Não disponível' quando a informação não existir","","","","2","Testing","Ford Challenge\Sprint 3","Sprint3; API"
"","Feature","","[FT-10] Comparação, Exportação e Histórico","","","<b>História:</b> Como gestor de produto, quero comparar veículos lado a lado e exportar os dados, para apoiar decisões de preço e pacote de equipamentos.<br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço total:</b> 16 pontos","Dado dois ou mais resultados, quando comparo, então vejo uma tabela única com as diferenças destacadas e posso exportá-la.","50","16","","","Ford Challenge","Should"
"","Product Backlog Item","","","[PBI-30] Comparar dois ou mais veículos lado a lado","","<b>História de usuário:</b> Como gestor de produto, quero comparar veículos concorrentes lado a lado, para entender o posicionamento em pacotes de equipamentos.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 8 pontos<br><b>Depende de (predecessores):</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)<br><b>Bloqueia (sucessores):</b> PBI-31<br><b>Release:</b> Sprint 4","<b>Funcionalidade:</b> Comparar dois ou mais veículos lado a lado<br><br><b>Cenário:</b> Comparação<br><b>Dado</b> as pesquisas da Ranger Raptor e da Hilux GR-S<br><b>Quando</b> solicito a comparação<br><b>Então</b> vejo uma tabela com os mesmos atributos e as diferenças destacadas<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Comparação de até 4 veículos.","50","8","","","Ford Challenge\Sprint 4","Should; API"
"","Product Backlog Item","","","[PBI-32] Exportar especificações em CSV, XLSX e PDF","","<b>História de usuário:</b> Como gestor, quero exportar os resultados, para compartilhar com outras áreas da Ford.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-19 Gerar lista de especificações em formato único (schema padronizado)<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 4","<b>Funcionalidade:</b> Exportar especificações em CSV, XLSX e PDF<br><br><b>Cenário:</b> Exportação CSV<br><b>Dado</b> uma pesquisa concluída<br><b>Quando</b> solicito exportação em CSV<br><b>Então</b> recebo um arquivo com os mesmos campos do schema padrão<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Arquivos exportados preservam 'Não disponível'.","50","5","","","Ford Challenge\Sprint 4","Should; API"
"","Product Backlog Item","","","[PBI-33] Histórico de pesquisas do usuário","","<b>História de usuário:</b> Como analista, quero consultar minhas pesquisas anteriores, para reutilizar resultados sem refazer a coleta.<br><br><b>Prioridade:</b> Opcional (Could have) — melhoria desejável, entra se houver capacidade<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-12 Controle de acesso por perfil (Analista, Gestor, Administrador), PBI-19 Gerar lista de especificações em formato único (schema padronizado)<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 4","<b>Funcionalidade:</b> Histórico de pesquisas do usuário<br><br><b>Cenário:</b> Histórico<br><b>Dado</b> que realizei 5 pesquisas<br><b>Quando</b> acesso o histórico<br><b>Então</b> vejo as 5 pesquisas ordenadas da mais recente para a mais antiga<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Paginação implementada.","20","3","","","Ford Challenge\Sprint 4","Could; API"
"","Epic","[EP-06] Aplicativo Mobile","","","","Aplicativo React Native (Expo) com identidade visual consistente, que permite pesquisar, visualizar e comparar especificações, publicado como APK.","APK instala e executa em dispositivo físico/emulador; todos os fluxos (login, pesquisa, resultado, comparação) funcionam sem erros.","","","","","Ford Challenge","Épico"
"","Feature","","[FT-11] Telas do Aplicativo","","","<b>História:</b> Como usuário mobile, quero telas consistentes e intuitivas, para pesquisar e consultar especificações em qualquer lugar.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 21 pontos","Dado o app instalado, quando navego pelas telas, então cores, tipografia e componentes seguem o design system.","100","21","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-09] Criar design system do app (cores, tipografia, componentes)","","<b>História de usuário:</b> Como usuário, quero uma identidade visual consistente, para ter uma experiência profissional em todas as telas.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> Nenhuma<br><b>Bloqueia (sucessores):</b> PBI-16, PBI-17<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Criar design system do app (cores, tipografia, componentes)<br><br><b>Cenário:</b> Componentes reutilizáveis<br><b>Dado</b> a biblioteca de componentes do app<br><b>Quando</b> uma nova tela é criada<br><b>Então</b> ela usa apenas tokens de cor, tipografia e componentes do design system<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Design system documentado no Figma e implementado como tema no app.","100","3","","","Ford Challenge\Sprint 1","Must; Mobile"
"","Product Backlog Item","","","[PBI-16] Telas de login e cadastro no app","","<b>História de usuário:</b> Como usuário mobile, quero entrar no app com minhas credenciais, para acessar minhas pesquisas.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-09 Criar design system do app (cores, tipografia, componentes), PBI-11 Cadastro e login com geração e validação de JWT<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Telas de login e cadastro no app<br><br><b>Cenário:</b> Login no app<br><b>Dado</b> que estou na tela de login<br><b>Quando</b> informo credenciais válidas<br><b>Então</b> sou direcionado à tela inicial e o token fica em armazenamento seguro<br><br><b>Cenário:</b> Erro de login<br><b>Dado</b> que estou na tela de login<br><b>Quando</b> informo senha errada<br><b>Então</b> vejo a mensagem 'E-mail ou senha inválidos'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Token armazenado com expo-secure-store.","100","3","","","Ford Challenge\Sprint 2","Must; Mobile"
"","Product Backlog Item","","","[PBI-17] Tela de nova pesquisa (veículo + lista de atributos)","","<b>História de usuário:</b> Como analista mobile, quero informar o veículo e os atributos em uma única tela, para iniciar a pesquisa rapidamente.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-06 Informar Marca, Modelo e Versão para iniciar a pesquisa, PBI-08 Definir livremente a lista de atributos a pesquisar, PBI-09 Criar design system do app (cores, tipografia, componentes)<br><b>Bloqueia (sucessores):</b> PBI-25<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Tela de nova pesquisa (veículo + lista de atributos)<br><br><b>Cenário:</b> Pesquisa enviada<br><b>Dado</b> que preenchi Marca, Modelo, Versão e 3 atributos<br><b>Quando</b> toco em 'Pesquisar'<br><b>Então</b> vejo a confirmação e o status 'Em processamento'<br><br><b>Cenário:</b> Campos obrigatórios<br><b>Dado</b> que não preenchi a Versão<br><b>Quando</b> toco em 'Pesquisar'<br><b>Então</b> o campo Versão é destacado com mensagem de obrigatoriedade<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Tela validada em Android físico e emulador.","100","5","","","Ford Challenge\Sprint 2","Must; Mobile"
